Campaign ID,Response Day,Start Date,Created Date,Language
70161000000VB4F,5/4/2018,7/19/2017,7/19/2017,Japanese
70161000001JM78,2/1/2018,8/25/2016,8/25/2016,Japanese
701b00000009yD8,7/26/2017,6/19/2014,6/19/2014,
701b0000000AZLu,5/11/2016,4/16/2015,4/6/2015,English
7016100000082yv,10/18/2017,10/24/2017,10/10/2017,English
701b0000000Yq43,5/9/2016,10/27/2015,10/27/2015,
701610000005lJV,3/3/2019,5/23/2016,5/23/2016,
701b00000009yD8,5/9/2016,6/19/2014,6/19/2014,
701b0000000Aj3b,5/9/2016,6/24/2015,6/6/2015,English
701b0000000Z2cl,5/29/2016,12/16/2015,1/25/2016,Japanese
701b0000000Yq43,5/10/2016,10/27/2015,10/27/2015,
701610000002vMj,5/11/2016,6/10/2016,4/18/2016,
701610000002vMj,5/11/2016,6/10/2016,4/18/2016,
701b0000000AfzN,5/11/2016,5/15/2015,5/15/2015,Japanese
70161000001JM78,6/30/2017,8/25/2016,8/25/2016,Japanese
70161000001HIuf,2/1/2018,10/25/2016,10/25/2016,English
701b0000000YpOl,7/12/2016,10/28/2015,10/20/2015,English
701b0000000Aj3b,5/10/2016,6/24/2015,6/6/2015,English
701b00000009tnf,5/10/2016,5/9/2014,5/9/2014,
701b0000000p8RH,5/10/2016,3/31/2016,3/22/2016,English
701b00000009yD8,5/29/2016,6/19/2014,6/19/2014,
7016100000088o2,2/2/2018,,1/21/2018,Japanese
701b00000009uP4,5/10/2016,5/12/2014,5/12/2014,
7016100000088gI,1/2/2019,1/19/2018,1/18/2018,Japanese
701b0000000AfzN,5/10/2016,5/15/2015,5/15/2015,Japanese
701b0000000Ab3o,5/10/2016,4/28/2015,4/19/2015,English
701610000005n3S,6/15/2016,6/10/2016,6/10/2016,
701b00000009yD8,5/10/2016,6/19/2014,6/19/2014,
701b0000000AfzN,6/17/2016,5/15/2015,5/15/2015,Japanese
701b0000000Aj3b,5/10/2016,6/24/2015,6/6/2015,English
70161000000VB4F,7/24/2017,7/19/2017,7/19/2017,Japanese
70161000000VAIG,7/24/2017,7/11/2017,7/11/2017,English
701b0000000Yq43,7/19/2017,10/27/2015,10/27/2015,
701610000002vMo,5/29/2016,6/24/2016,4/18/2016,
70161000001JM78,1/22/2017,8/25/2016,8/25/2016,Japanese
70161000001JM78,1/20/2019,8/25/2016,8/25/2016,Japanese
7016100000088gI,1/20/2019,1/19/2018,1/18/2018,Japanese
701610000005lJV,11/8/2017,5/23/2016,5/23/2016,
70161000001JM78,11/8/2017,8/25/2016,8/25/2016,Japanese
70161000001JM78,2/1/2018,8/25/2016,8/25/2016,Japanese
701b0000000AZIM,2/1/2018,4/5/2015,4/5/2015,
70161000001JM78,2/1/2018,8/25/2016,8/25/2016,Japanese
70161000000V1r7,5/10/2018,5/26/2017,5/26/2017,Japanese
7016100000088gI,1/20/2019,1/19/2018,1/18/2018,Japanese
701610000008AGD,2/21/2018,2/23/2018,2/12/2018,Japanese
701610000008Abf,2/22/2018,3/1/2018,2/18/2018,Japanese
701b00000009tnf,2/1/2018,5/9/2014,5/9/2014,
70161000001HZN0,7/16/2017,3/6/2017,3/10/2017,English
701b0000000Aj3b,5/11/2016,6/24/2015,6/6/2015,English
70161000000VB4F,11/1/2017,7/19/2017,7/19/2017,Japanese
70161000000VAIG,11/1/2017,7/11/2017,7/11/2017,English
701b0000000Aj3b,5/11/2016,6/24/2015,6/6/2015,English
70161000001q8tT,3/13/2019,2/7/2019,2/6/2019,Japanese
70161000001HIua,4/18/2018,10/25/2016,10/25/2016,English
701b0000000oy8Z,5/15/2019,2/26/2016,2/26/2016,English
70161000001JM78,2/1/2018,8/25/2016,8/25/2016,Japanese
701610000008AGD,6/20/2018,2/23/2018,2/12/2018,Japanese
70161000001HJ7e,4/9/2018,8/25/2016,10/26/2016,Japanese
70161000001JM78,6/16/2018,8/25/2016,8/25/2016,Japanese
7016100000088gI,2/21/2018,1/19/2018,1/18/2018,Japanese
701b00000009uP4,6/6/2016,5/12/2014,5/12/2014,
701b0000000AfzN,5/11/2016,5/15/2015,5/15/2015,Japanese
70161000001HIuf,4/17/2017,10/25/2016,10/25/2016,English
701b0000000p08D,7/7/2016,3/3/2016,3/3/2016,
7016100000082fy,11/7/2017,12/4/2017,10/4/2017,Japanese
70161000001HbZC,4/16/2017,4/21/2017,3/17/2017,Japanese
701b0000000Aj3b,7/5/2016,6/24/2015,6/6/2015,English
701610000005lJV,11/7/2017,5/23/2016,5/23/2016,
70161000001HIua,11/7/2017,10/25/2016,10/25/2016,English
70161000001Vilz,6/28/2018,6/29/2018,6/6/2018,Japanese
70161000001JM78,5/11/2019,8/25/2016,8/25/2016,Japanese
